"","player_name","season","team","games","total_attempts","total_completions","total_passing_yards","total_passing_tds","total_interceptions","completion_pct","yards_per_attempt","yards_per_game","total_passing_epa","pass_epa_per_att","avg_cpoe","td_pct","int_pct","total_sacks","sack_rate","avg_time_to_throw","total_carries","total_rushing_yards","total_rushing_tds","rushing_yards_per_carry","total_fantasy_points","fantasy_points_per_game"
"101","J.Dobbs",2023,"ARI",8,266,167,1569,8,5,62.781954887218,5.8984962406015,196.125,-47.5664072689744,-0.17882107995855,-0.0761411593512964,3.00751879699248,1.8796992481203,17,6.00706713780919,2.77608758079817,47,258,3,5.48936170212766,126.56,15.82
"102","J.Dobbs",2023,"MIN",5,151,95,895,5,5,62.9139072847682,5.9271523178808,179,-33.1832499017736,-0.21975662186605,-0.611597329606792,3.3112582781457,3.3112582781457,13,7.92682926829268,3.22112381820119,30,163,3,5.43333333333333,76.1,15.22
"103","J.Dobbs",2024,"SF",2,47,32,361,2,2,68.0851063829787,7.68085106382979,180.5,5.55747983542185,0.118244251817486,0.202040062394246,4.25531914893617,4.25531914893617,2,4.08163265306122,2.65783333333333,9,24,2,2.66666666666667,30.84,15.42
"104","J.Driskel",2022,"HOU",7,20,14,108,1,0,70,5.4,15.4285714285714,-2.01134103001095,-0.100567051500548,NA,5,0,2,9.09090909090909,NA,20,75,0,3.75,16.22,2.31714285714286
"105","J.Driskel",2023,"CLE",1,26,13,166,2,2,50,6.38461538461539,166,-10.9572080454091,-0.421431078669579,-6.46135016129568,7.69230769230769,7.69230769230769,3,10.3448275862069,2.70142307692308,7,33,0,4.71428571428571,13.94,13.94
"106","J.Eason",2022,"CAR",1,5,3,59,0,1,60,11.8,59,-2.26128179964144,-0.452256359928288,NA,0,20,0,0,NA,0,0,0,NA,0.36,0.36
"107","J.Fields",2022,"CHI",15,318,192,2242,17,11,60.377358490566,7.0503144654088,149.466666666667,-65.7712491202688,-0.206827827422229,-6.05412999820278,5.34591194968553,3.45911949685535,55,14.745308310992,3.14057666122048,160,1143,8,7.14375,295.98,19.732
"108","J.Fields",2023,"CHI",13,370,227,2562,16,9,61.3513513513513,6.92432432432432,197.076923076923,-36.2964767138459,-0.0980985857130971,0.684156436126572,4.32432432432432,2.43243243243243,44,10.6280193236715,3.24152091415195,124,657,4,5.29838709677419,230.18,17.7061538461538
"109","J.Fields",2024,"PIT",11,162,106,1106,5,1,65.4320987654321,6.82716049382716,100.545454545455,8.06952586026961,0.0498118880263556,1.59004957649692,3.08641975308642,0.617283950617284,16,8.98876404494382,3.03259737242595,62,289,5,4.66129032258065,119.14,10.8309090909091
"110","J.Flacco",2022,"NYJ",5,191,110,1051,5,3,57.5916230366492,5.50261780104712,210.2,-25.3617051530504,-0.132783796612829,-3.67028410839095,2.61780104712042,1.57068062827225,10,4.97512437810945,2.73643660365059,3,6,0,2,48.64,9.728
